Provider_Number,Provider_Number,Readm_rate
240038,240038,"1.053530899"
240050,240050,"0"
240053,240053,"1.026637434"
240056,240056,"0.929106187"
240057,240057,"0.871229862"
240059,240059,"0"
240069,240069,"1.072126945"
240071,240071,"0"
240076,240076,"0"
240078,240078,"0.99437959"
240088,240088,"0"
240100,240100,"0.988736853"
240106,240106,"0.851567683"
240132,240132,"0"
240207,240207,"0.999345107"
250009,250009,"0.973211912"
250010,250010,"0"
250040,250040,"1.107806475"
250040,250040,"1.107806475"
250040,250040,"1.107806475"
250040,250040,"1.107806475"
250040,250040,"1.107806475"
250040,250040,"1.107806475"
250040,250040,"1.107806475"
250040,250040,"1.107806475"
250043,250043,"0"
250049,250049,"0"
250061,250061,"0"
250069,250069,"0.912580535"
250077,250077,"0"
250078,250078,"0.99581809"
250093,250093,"0"
250095,250095,"0"
250099,250099,"1.043960527"
250123,250123,"0"
250124,250124,"0"
250126,250126,"0"
250134,250134,"0"
250162,250162,"0"
260001,260001,"1.044940311"
260004,260004,"0"
260009,260009,"0.921628787"
260015,260015,"0"
260017,260017,"0.950548761"
260022,260022,"0"
260025,260025,"0.966437703"
260027,260027,"0.987111509"
260034,260034,"0"
260047,260047,"0.972190391"
260048,260048,"0"
260052,260052,"0.952677464"
260057,260057,"0"
260059,260059,"0"
260061,260061,"0"
260065,260065,"1.030998134"
260068,260068,"0.992606758"
260074,260074,"1.003396959"
260078,260078,"0.941196604"
260080,260080,"0"
260094,260094,"0.974196183"
260096,260096,"1.033421489"
260097,260097,"0"
260102,260102,"0"
260113,260113,"0.984233508"
260175,260175,"0"
260177,260177,"1.012038266"
260186,260186,"0.946975446"
260195,260195,"1.000365968"
260207,260207,"0"
260214,260214,"0"
270004,270004,"0.840340882"
270032,270032,"0"
270051,270051,"0.807610659"
280013,280013,"1.004340747"
280020,280020,"0.957817262"
280061,280061,"0.954645329"
280065,280065,"0.970736097"
280111,280111,"0"
280128,280128,"0.872469241"
290001,290001,"0.937472315"
290002,290002,"0"
290005,290005,"0"
290006,290006,"0"
290008,290008,"0.983688015"
290019,290019,"0.938113439"
290021,290021,"1.181605669"
